#Ver.2025.03.13
#com3d2plg
bg-en.arc,bg English version
bg_franchise001.arc,事業拡大パック『ラブホテル』『ノーマル＆ハイポリボディ版』Ver.文学少女、小悪魔、おしとやか
bg_free001.arc,恵方巻
bg_free003.arc,雛人形セット
bg_free004.arc,ホワイトデーのクッキーセット
bg_gp001.arc,カスタムオーダーメイド3D2専用プラグイン GP01
bg_gp001fb.arc,カスタムオーダーメイド3D2専用プラグイン GP01 Feedback
bg_gp002.arc,カスタムオーダーメイド3D2専用プラグイン GP02
bg_gp002p1.arc,カスタムオーダーメイド3D2専用プラグイン GP02 第1弾
bg_gp002p2.arc,カスタムオーダーメイド3D2専用プラグイン GP02 第2弾
bg_gp003d.arc,CUSTOM OREDER MAID 3D2&2.5＋ GP-03
bg_halloween2021.arc,カスタムオーダーメイドコスチュームセット ハロウィンパーティSP
bg_karaoke001.arc,カラオケパックVR VOL.1
bg_karaoke002.arc,カラオケパックVR VOL.2
bg_karaoke003.arc,カスタムオーダーメイド3D2カラオケパックVR VOL.1
bg_karaoke004.arc,カスタムオーダーメイド3D2カラオケパックVR VOL.2
bg_karaoke005.arc,カスタムオーダーメイド3D2カラオケパックVR VOL.3
bg_karaoke006.arc,カスタムオーダーメイド3D2カラオケパックVR VOL.4
bg_karaoke013.arc,カスタムオーダーメイド3D2 エンパイアカラオケ歌合戦SP
bg_kissevent2018_pamphlet.arc,KISSイベント2018Marchアイテムセット
bg_lovehotel.arc,エンパイアバラエティSP 2023 Summer
bg_maidnohi001.arc,メイドの日プラグイン
bg_nightpool001.arc,カスタムオーダーメイド3D2 ナイトプールSP
bg_nightpool001_add.arc,カスタムオーダーメイド3D2 ナイトプールSP Extreme
bg_nightpool001_add2.arc,カスタムオーダーメイド3D2 ナイトプールSPVer.購入者向け
bg_oldplus006.arc,カスタムオーダーメイド3D2 夜伽＆警戒&恋人+状態＆Hイベント追加パック feat.ボクっ娘
bg_oldplus_anesan.arc,夜伽&カラオケ付きお姉ちゃんらぶらぶ同棲パック
bg_oldplus_cool.arc,カスタムオーダーメイド3D2 夜伽＆カラオケ付きクーデレらぶらぶ同棲パック
bg_oldplus_genki.arc,夜伽＆カラオケ付きボクっ娘らぶらぶ同棲パック
bg_oldplus_pride.arc,カスタムオーダーメイド3D2 夜伽＆カラオケ付きツンデレらぶらぶ同棲パック
bg_oldplus_pure.arc,カスタムオーダーメイド3D2 夜伽＆カラオケ付き純真らぶらぶ同棲パック
bg_oldplus_sadist.arc,夜伽＆カラオケ付きドSらぶらぶ同棲パック『ノーマル＆ハイポリボディ版』withフォルテメイド服
bg_oldplus_yandere.arc,夜伽＆カラオケ付きヤンデレらぶらぶ同棲パック
bg_omytgc021.arc,夜伽クラス Vol.39 『マスターソープセックスメイド＆マスターソープサービスメイド』
bg_omytgc023.arc,夜伽クラス Vol.41 『純愛ピュアラブメイド＆寝取らせスワッピングラブメイド』無垢、真面目、凜デレ
bg_omytgc034.arc,夜伽クラスSP『+&ACT2リバイバル』『インモラルメイド+&スクールメイド+』Ver.無垢、真面目、凜デレ、文学少女、小悪魔、おしとやか
bg_ordermade001.arc,移籍パックvol.1 病的な程一途な大和撫子
bg_ordermade002.arc,移籍パックvol.2 母性的なお姉ちゃん
bg_ordermade003.arc,移籍パックvol.3 Ｍ心を刺激する、ドＳ女王様
bg_ordermade004.arc,移籍パックvol.4 健康的でスポーティなボクっ娘
bg_personal_om001.arc,カスタムオーダーメイド3D2 キャラクターパック 無口で甘えたがりな文学少女
bg_personal_om002.arc,カスタムオーダーメイド3D2 キャラクターパック 天然サディスティックな小悪魔
bg_personal_om003.arc,カスタムオーダーメイド3D2 キャラクターパック 色気のあるおしとやかなお姉さん
bg_personal_om004.arc,カスタムオーダーメイド3D2 キャラクターパック 大人の余裕を持つ、頼れるメイド秘書
bg_personal_om005.arc,カスタムオーダーメイド3D2 キャラクターパック 小動物系ふわふわ妹
bg_personal_om006.arc,カスタムオーダーメイド3D2 キャラクターパック 警戒心の強い無愛想
bg_personal_om007.arc,カスタムオーダーメイド3D2 キャラクターパック 高飛車で生意気なお嬢様
bg_personal_om007plus.arc,カスタムオーダーメイド3D2 夜伽＆Hイベント追加パック feat.お嬢様
bg_personal_om008.arc,カスタムオーダーメイド3D2 キャラクターパック 甘々デレデレでご主人様を信仰している妹系幼馴染
bg_personal_om009.arc,カスタムオーダーメイド3D2 キャラクターパックEX ド変態ドM
bg_personal_om010.arc,カスタムオーダーメイド3D2 キャラクターパックEX 腹黒
bg_personal_om011.arc,カスタムオーダーメイド3D2キャラクターパック 気さくでちょっとエッチなお姉さん
bg_personal_om012.arc,カスタムオーダーメイド3D2キャラクターパック 生真面目で甘え下手な淑女
bg_personal_om013.arc,カスタムオーダーメイド3D2&2.5 キャラクターパックEX ギャル シリーズ
bg_rotakara002.arc,カスタムオーダーメイド3D2　ローターカラオケショー
bg_smsp001.arc,カスタムオーダーメイド拘束台SP
bg_soukiyoyaku.arc,カスタムオーダーメイド3D2専用プラグイン COM3D2-早期予約ファンシーペーパー
bg_sp001.arc,カスタムオーダーメイド3D2 シーズンパック 2018 Summer
bg_sp002.arc,カスタムオーダーメイド3D2 シーズンパック 2018 Autumn
bg_sp003.arc,カスタムオーダーメイド3D2 シーズンパック 2018 Winter
bg_sp004.arc,カスタムオーダーメイド3D2 シーズンパック 2019 Spring
bg_sp005.arc,カスタムオーダーメイド3D2 デートパック 2019 Summer
bg_sp006.arc,カスタムオーダーメイド3D2 デートパック 2019 Winter
bg_sp007.arc,カスタムオーダーメイド3D2 デートパック 2021 Winter
bg_studio002.arc,スタジオモード強化パック Vol.02
bg_studio003.arc,スタジオモード強化パック Vol.03
bg_studio004.arc,スタジオモード強化パック Vol.04
bg_teikoku001.arc,スペシャルサービス追加パック『帝国荘』
bg_valentine2023.arc,カスタムオーダーメイド3D2 バレンタインカラオケパック　改革的ハートグラフィー
